"Ramas de Conocimiento: AyH:         Artes y Humanidades
C:            Ciencias
IyA:          Ingeniería y Arquitectura
SD:          Ciencias de la Salud
SyJ:         Ciencias Sociales y Jurídicas
Grados",Rama de conocimiento,Historia de la Filosofía,Análisis Musical II,Artes Escénicas II,Dibujo Artístico II,Latín II,Matemáticas II,Matemáticas Aplicadas CC.SS.,Ciencias Generales,Biología,Dibujo Técnico II,Física,Geología y Ciencias Ambientales,Tecnología e Ingeniería II,Química,Empresa y Diseño de modelos de negocio,Geografía,Griego II,Historia del Arte,Dibujo Técnico aplicado a las artes plásticas y al diseño II,Diseño,Fundamentos Artísticos,Técnicas de Expresión Gráfico- Plástica,Coro y Técnica Vocal II,Historia nde la música y de la danza,Literatura dramática,Movimientos Culturales y Artísticos,Segunda Lengua Extranjera II
Administración y Dirección de Empresas,SyJ,"0,1",,,,"0,1","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Administración y Direccion de Empresas + Derecho,SyJ,"0,2",,,,"0,2","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Administración y Dirección de Empresas + Finanzas y Contabilidad,SyJ,"0,1",,,,"0,1","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Administración y Dirección de Empresas + Turismo,SyJ,"0,1","0,1","0,1","0,1","0,1","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1",,"0,1","0,1","0,1","0,2"
Análisis Económico,SyJ,"0,1",,,,"0,1","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Antropología Social y Cultural,SyJ,"0,2","0,1","0,1","0,1","0,1",,"0,2","0,1","0,1",,,,,,"0,1","0,2","0,2","0,2",,,"0,2","0,1","0,1","0,1","0,1","0,2",
Arqueología,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,"0,1",,,"0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,1",,"0,1",,"0,2","0,1"
Arquitectura Naval e Ingeniería Marítima,IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,1",,,,,,,,,,,,,
Bellas Artes,AyH,"0,2","0,2","0,2","0,2","0,2",,"0,1",,,,,,,,"0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2",
Biología,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Biomedicina Básica y Experimental,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Bioquímica,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,,,,,,,,,
Biotecnología,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,,,,,,,,,
Ciberseguridad e Inteligencia Artificial,IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ciencia y Tecnología de los Alimentos,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,,,,,,,,,
Ciencias Ambientales,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Ciencias Ambientales + Ciencias del Mar,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Ciencias Ambientales + Geografía e Historia,AyH+C,"0,2","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,1",,"0,1",,"0,2","0,1"
Ciencias Ambientales + Geología,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Ciencias Ambientales + Ingeniería Florestal y del Medio Natural,IyA+C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Ciencias de la Actividad Física y del Deporte,SyJ,,"0,1","0,1","0,1",,"0,1","0,2","0,2","0,2",,"0,2",,"0,2","0,2","0,2","0,1","0,1","0,1",,,,,,,,"0,1",
Ciencias del Mar,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Ciencias Gastronómicas y Gestión Hotelera,SyJ,"0,1",,,,"0,1","0,1","0,2","0,2","0,2",,"0,1",,"0,1","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1",,,,,"0,1","0,2"
Ciencias Políticas y de la Administración,SyJ,"0,2",,,,"0,1",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Ciencias Políticas y de la Administración + Periodismo,SyJ,"0,2",,,,"0,1",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1",,,"0,1","0,1","0,1","0,1"
Ciencias Políticas y de la Administración + Sociología,SyJ,"0,2",,,,"0,1",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,,"0,1",
Ciencias Políticas y de la Admon. + Admón. y Direccion de Empresas,SyJ,"0,2",,,,"0,1","0,1","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Comunicación,SyJ,"0,1",,,,"0,1",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1",,,,,"0,1","0,1"
Comunicación + Comunicación Digital,SyJ,"0,1",,,,"0,1",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1",,,,,"0,1","0,1"
Comunicación Audiovisual,SyJ,"0,1",,,,"0,1",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1",,,"0,1",,"0,1","0,1"
Comunicación Digital,SyJ,"0,1",,,,"0,1",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1",,,,,"0,1","0,1"
Conservación y Rest.de Bienes Culturales,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,"0,1",,,"0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,1",,"0,1",,"0,2",
Criminología,SyJ,"0,2",,,,"0,1",,"0,2","0,2","0,2",,,,,0.1,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Criminología y Seguridad,SyJ,"0,2",,,,"0,1",,"0,2","0,2","0,2",,,,,0.1,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho,SyJ,"0,2",,,,"0,2",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho + Ciencias Políticas y de la Administración,SyJ,"0,2",,,,"0,2",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho + Criminología,SyJ,"0,2",,,,"0,2",,"0,2","0,2","0,2",,,,,"0,1","0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho + Criminología,SyJ,"0,2",,,,"0,2",,"0,2","0,2","0,2",,,,,"0,1","0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho + Criminología y Seguridad,SyJ,"0,2",,,,"0,2",,"0,2","0,2","0,2",,,,,"0,1","0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho + Economía,SyJ,"0,2",,,,"0,2","0,1","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho + Filosofía,AyH+SyJ,"0,2","0,1","0,1","0,1","0,2",,"0,2",,,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1",,,,,"0,2","0,1"
Derecho + Finanzas y Contabilidad,SyJ,"0,2",,,,"0,2","0,1","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho + Gestión y Administración Pública,SyJ,"0,2",,,,"0,2","0,1","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Derecho + Relaciones Laborales y Recursos Humanos,SyJ,"0,2",,,,"0,2",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Economía,SyJ,"0,1",,,,"0,1","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Economía + Administración y Dirección de Empresas,SyJ,"0,1",,,,"0,2","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Edificación,IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,"0,1",,,"0,1",,,,,"0,1",
Edificación + Administración y Dirección de Empresas,IyA+SyJ,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,"0,1",,,"0,1",,,,,"0,1",
Educación Infantil,SyJ,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1"
Educación Infantil + Educación Primaria,SyJ,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
Educación Primaria,SyJ,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
Educación Primaria + CC. De la Actividad Física y del Deporte,SyJ,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
Educación Primaria + Estudios Franceses,AyH+SyJ,"0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
Educación Primaria + Estudios Ingleses,AyH+SyJ,"0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
Educación Social,SyJ,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1"
Enfermería,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Enfermería + Fisioterapia,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Enología,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Enología + Ingeniería Agroalimentaria y del Medio Rural,C+IyA,,,,,,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2",0.1,,,,,,,,,,,,
Estadística,C,,,,,,"0,2","0,2","0,1","0,1","0,1","0,2","0,1","0,2","0,1","0,2",,,,,,,,,,,,
Estadística y Empresa,SyJ,,,,,,"0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Estudios Arabes e Islámicos,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Estudios Árabes e Islámicos + Estudios Ingleses,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Estudios Asia Oriental,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Estudios Franceses,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Estudios Franceses + Estudios Ingleses,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Estudios Ingleses,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Estudios Ingleses + Filologia Hispanica,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
"Estudios Transculturales Europeos: Lenguas, Culturas, Interacciones",AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,2","0,1","0,1","0,1",,,"0,2","0,2","0,2","0,2"
Farmacia,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Farmacia + Nutrición Humana y Dietética,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Farmacia + Óptica y Optometría,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,,,,,,,,,
